year,month,value
2003,1,138
2003,2,110
2003,3,164
2003,4,175
2003,5,174
2003,6,243
2003,7,237
2003,8,207
2003,9,182
2003,10,180
2003,11,139
2003,12,136
2004,1,110
2004,2,128
2004,3,126
2004,4,154
2004,5,189
2004,6,183
2004,7,231
2004,8,216
2004,9,194
2004,10,173
2004,11,127
2004,12,121
2005,1,117
2005,2,111
2005,3,150
2005,4,160
2005,5,202
2005,6,228
2005,7,231
2005,8,228
2005,9,191
2005,10,161
2005,11,121
2005,12,131
2006,1,120
2006,2,98
2006,3,135
2006,4,170
2006,5,192
2006,6,193
2006,7,214
2006,8,174
2006,9,150
2006,10,147
2006,11,126
2006,12,132
2007,1,104
2007,2,114
2007,3,153
2007,4,177
2007,5,174
2007,6,209
2007,7,248
2007,8,206
2007,9,205
2007,10,173
2007,11,131
2007,12,122
2008,1,101
2008,2,124
2008,3,140
2008,4,169
2008,5,198
2008,6,212
2008,7,216
2008,8,241
2008,9,166
2008,10,130
2008,11,120
2008,12,113
2009,1,95
2009,2,111
2009,3,130
2009,4,156
2009,5,176
2009,6,198
2009,7,229
2009,8,210
2009,9,170
2009,10,142
2009,11,113
2009,12,75
2010,1,95
2010,2,99
2010,3,146
2010,4,152
2010,5,168
2010,6,195
2010,7,206
2010,8,221
2010,9,182
2010,10,143
2010,11,102
2010,12,109
2011,1,114
2011,2,116
2011,3,141
2011,4,158
2011,5,164
2011,6,201
2011,7,250
2011,8,209
2011,9,179
2011,10,145
2011,11,117
2011,12,92
2012,1,79
2012,2,112
2012,3,138
2012,4,145
2012,5,199
2012,6,197
2012,7,226
2012,8,221
2012,9,192
2012,10,141
2012,11,108
2012,12,102
2013,1,85
2013,2,99
2013,3,127
2013,4,113
2013,5,162
2013,6,182
2013,7,171
2013,8,177
2013,9,143
2013,10,132
2013,11,92
2013,12,73
2014,1,87
2014,2,73
2014,3,109
2014,4,121
2014,5,155
2014,6,182
2014,7,184
2014,8,171
2014,9,163
2014,10,144
2014,11,79
2014,12,78
2015,1,93
2015,2,75
2015,3,134
2015,4,108
2015,5,146
2015,6,170
2015,7,190
2015,8,193
2015,9,154
2015,10,132
2015,11,106
2015,12,95
2016,1,99
2016,2,77
2016,3,101
2016,4,120
2016,5,147
2016,6,189
2016,7,178
2016,8,175
2016,9,158
2016,10,130
2016,11,68
2016,12,49
2017,1,13
