year,month,value
2003,1,210
2003,2,41
2003,3,182
2003,4,61
2003,5,49
2003,6,103
2003,7,218
2003,8,70
2003,9,78
2003,10,73
2003,11,61
2003,12,228
2004,1,48
2004,2,93
2004,3,49
2004,4,41
2004,5,85
2004,6,71
2004,7,76
2004,8,106
2004,9,89
2004,10,103
2004,11,143
2004,12,74
2005,1,63
2005,2,185
2005,3,50
2005,4,39
2005,5,81
2005,6,56
2005,7,98
2005,8,447
2005,9,235
2005,10,183
2005,11,65
2005,12,187
2006,1,69
2006,2,70
2006,3,62
2006,4,54
2006,5,152
2006,6,64
2006,7,219
2006,8,112
2006,9,367
2006,10,178
2006,11,56
2006,12,86
2007,1,130
2007,2,47
2007,3,57
2007,4,74
2007,5,170
2007,6,74
2007,7,285
2007,8,98
2007,9,150
2007,10,76
2007,11,121
2007,12,53
2008,1,72
2008,2,61
2008,3,61
2008,4,97
2008,5,112
2008,6,120
2008,7,71
2008,8,339
2008,9,161
2008,10,56
2008,11,81
2008,12,61
2009,1,49
2009,2,140
2009,3,79
2009,4,65
2009,5,84
2009,6,439
2009,7,60
2009,8,77
2009,9,56
2009,10,74
2009,11,48
2009,12,36
2010,1,141
2010,2,72
2010,3,41
2010,4,124
2010,5,315
2010,6,76
2010,7,240
2010,8,142
2010,9,46
2010,10,74
2010,11,71
2010,12,40
2011,1,44
2011,2,76
2011,3,46
2011,4,51
2011,5,88
2011,6,62
2011,7,181
2011,8,98
2011,9,94
2011,10,83
2011,11,82
2011,12,54
2012,1,27
2012,2,54
2012,3,63
2012,4,167
2012,5,73
2012,6,219
2012,7,66
2012,8,71
2012,9,82
2012,10,53
2012,11,67
2012,12,65
2013,1,82
2013,2,51
2013,3,67
2013,4,45
2013,5,53
2013,6,78
2013,7,61
2013,8,77
2013,9,50
2013,10,69
2013,11,152
2013,12,41
2014,1,37
2014,2,32
2014,3,288
2014,4,64
2014,5,52
2014,6,67
2014,7,427
2014,8,83
2014,9,68
2014,10,54
2014,11,43
2014,12,222
2015,1,33
2015,2,65
2015,3,205
2015,4,49
2015,5,48
2015,6,74
2015,7,64
2015,8,97
2015,9,69
2015,10,303
2015,11,56
2015,12,55
2016,1,42
2016,2,54
2016,3,111
2016,4,40
2016,5,117
2016,6,52
2016,7,104
2016,8,59
2016,9,85
2016,10,40
2016,11,28
2016,12,50
2017,1,9
