year,month,value
2003,1,52
2003,2,27
2003,3,33
2003,4,27
2003,5,16
2003,6,56
2003,7,56
2003,8,52
2003,9,38
2003,10,44
2003,11,33
2003,12,46
2004,1,28
2004,2,15
2004,3,13
2004,4,31
2004,5,38
2004,6,45
2004,7,46
2004,8,38
2004,9,35
2004,10,41
2004,11,106
2004,12,21
2005,1,11
2005,2,33
2005,3,21
2005,4,27
2005,5,40
2005,6,46
2005,7,40
2005,8,113
2005,9,31
2005,10,32
2005,11,10
2005,12,22
2006,1,30
2006,2,16
2006,3,28
2006,4,34
2006,5,37
2006,6,39
2006,7,107
2006,8,30
2006,9,20
2006,10,31
2006,11,26
2006,12,22
2007,1,19
2007,2,21
2007,3,69
2007,4,20
2007,5,30
2007,6,39
2007,7,45
2007,8,42
2007,9,42
2007,10,25
2007,11,26
2007,12,24
2008,1,14
2008,2,38
2008,3,14
2008,4,142
2008,5,39
2008,6,22
2008,7,39
2008,8,70
2008,9,35
2008,10,53
2008,11,18
2008,12,27
2009,1,20
2009,2,40
2009,3,30
2009,4,24
2009,5,33
2009,6,32
2009,7,45
2009,8,47
2009,9,28
2009,10,35
2009,11,30
2009,12,14
2010,1,9
2010,2,5
2010,3,29
2010,4,24
2010,5,42
2010,6,41
2010,7,30
2010,8,66
2010,9,35
2010,10,24
2010,11,17
2010,12,21
2011,1,24
2011,2,29
2011,3,17
2011,4,20
2011,5,33
2011,6,38
2011,7,52
2011,8,42
2011,9,102
2011,10,34
2011,11,22
2011,12,17
2012,1,7
2012,2,23
2012,3,28
2012,4,25
2012,5,29
2012,6,33
2012,7,43
2012,8,38
2012,9,29
2012,10,28
2012,11,24
2012,12,28
2013,1,7
2013,2,19
2013,3,17
2013,4,20
2013,5,20
2013,6,53
2013,7,95
2013,8,35
2013,9,24
2013,10,39
2013,11,24
2013,12,11
2014,1,11
2014,2,23
2014,3,23
2014,4,28
2014,5,30
2014,6,23
2014,7,42
2014,8,44
2014,9,28
2014,10,32
2014,11,25
2014,12,13
2015,1,22
2015,2,28
2015,3,28
2015,4,12
2015,5,23
2015,6,33
2015,7,48
2015,8,41
2015,9,43
2015,10,32
2015,11,23
2015,12,25
2016,1,24
2016,2,12
2016,3,18
2016,4,40
2016,5,14
2016,6,29
2016,7,23
2016,8,39
2016,9,37
2016,10,21
2016,11,16
2016,12,7
2017,1,5
