year,month,value
2003,1,856
2003,2,468
2003,3,426
2003,4,1092
2003,5,552
2003,6,1258
2003,7,783
2003,8,1327
2003,9,545
2003,10,1418
2003,11,768
2003,12,209
2004,1,562
2004,2,593
2004,3,881
2004,4,774
2004,5,511
2004,6,849
2004,7,907
2004,8,1700
2004,9,638
2004,10,274
2004,11,250
2004,12,309
2005,1,298
2005,2,652
2005,3,1042
2005,4,488
2005,5,1557
2005,6,2179
2005,7,752
2005,8,2642
2005,9,545
2005,10,958
2005,11,768
2005,12,1065
2006,1,735
2006,2,318
2006,3,953
2006,4,1224
2006,5,910
2006,6,969
2006,7,1004
2006,8,480
2006,9,768
2006,10,990
2006,11,801
2006,12,1455
2007,1,910
2007,2,759
2007,3,625
2007,4,644
2007,5,754
2007,6,2432
2007,7,1486
2007,8,1175
2007,9,502
2007,10,845
2007,11,539
2007,12,1369
2008,1,1189
2008,2,1573
2008,3,1014
2008,4,605
2008,5,508
2008,6,662
2008,7,2067
2008,8,1163
2008,9,488
2008,10,1163
2008,11,488
2008,12,1571
2009,1,834
2009,2,857
2009,3,777
2009,4,633
2009,5,1208
2009,6,2230
2009,7,722
2009,8,651
2009,9,729
2009,10,1175
2009,11,531
2009,12,460
2010,1,586
2010,2,923
2010,3,1009
2010,4,1775
2010,5,1081
2010,6,1751
2010,7,798
2010,8,1048
2010,9,864
2010,10,778
2010,11,569
2010,12,1713
2011,1,421
2011,2,1590
2011,3,749
2011,4,2971
2011,5,1859
2011,6,1023
2011,7,2123
2011,8,408
2011,9,1552
2011,10,1562
2011,11,543
2011,12,646
2012,1,619
2012,2,1313
2012,3,719
2012,4,711
2012,5,339
2012,6,956
2012,7,1635
2012,8,1856
2012,9,1035
2012,10,1164
2012,11,929
2012,12,608
2013,1,1094
2013,2,928
2013,3,589
2013,4,548
2013,5,1051
2013,6,1138
2013,7,817
2013,8,196
2013,9,494
2013,10,846
2013,11,748
2013,12,612
2014,1,865
2014,2,640
2014,3,1693
2014,4,299
2014,5,500
2014,6,522
2014,7,733
2014,8,641
2014,9,1379
2014,10,1551
2014,11,800
2014,12,528
2015,1,105
2015,2,854
2015,3,326
2015,4,115
2015,5,706
2015,6,836
2015,7,853
2015,8,987
2015,9,743
2015,10,839
2015,11,968
2015,12,869
2016,1,1005
2016,2,81
2016,3,405
2016,4,147
2016,5,149
2016,6,476
2016,7,713
2016,8,834
2016,9,153
2016,10,167
2016,11,152
2016,12,304
2017,1,8
